# ----------------------------------------
# data.gov.uk
# Directory page views-Free-form 1
# 20250802-20260802
# ----------------------------------------

Page title,Page location,Views
approved food establishments in england and wales - data.gov.uk,https://www.data.gov.uk/dataset/2c80e0ce-ee1c-4f26-ba6f-1e1ae1bd8ee9/approved-food-establishments,632
heavy vehicle brake code (dtp number) database - data.gov.uk,https://www.data.gov.uk/dataset/fe764aec-ee2f-47ae-a92c-f2ae30f571c9/dtp-number-reverse-engineering,618
tariffs to trade with the uk from 1 january 2021 - data.gov.uk,https://www.data.gov.uk/dataset/2af878bc-f302-49fd-98ef-9d1f4a63a318/tariffs-to-trade-with-the-uk-from-1-january-20211,532
historic landfill sites - national data library,https://www.data.gov.uk/dataset/17edf94f-6de3-4034-b66b-004ebd0dd010/historic-landfill-sites1,493
historic flood map - data.gov.uk,https://www.data.gov.uk/dataset/76292bec-7d8b-43e8-9c98-02734fd89c81/historic-flood-map1,475
approved food establishments in england and wales - national data library,https://www.data.gov.uk/dataset/2c80e0ce-ee1c-4f26-ba6f-1e1ae1bd8ee9/approved-food-establishments,455
tariffs to trade with the uk from 1 january 2021 - national data library,https://www.data.gov.uk/dataset/2af878bc-f302-49fd-98ef-9d1f4a63a318/tariffs-to-trade-with-the-uk-from-1-january-20211,426
uk trade quotas - data.gov.uk,https://www.data.gov.uk/dataset/4a478c7e-16c7-4c28-ab9b-967bb79342e9/uk-trade-quotas1,421
heavy vehicle brake code (dtp number) database - national data library,https://www.data.gov.uk/dataset/fe764aec-ee2f-47ae-a92c-f2ae30f571c9/dtp-number-reverse-engineering,413
uk trade quotas - national data library,https://www.data.gov.uk/dataset/4a478c7e-16c7-4c28-ab9b-967bb79342e9/uk-trade-quotas1,397
event duration monitoring - storm overflows - annual returns - data.gov.uk,https://www.data.gov.uk/dataset/19f6064d-7356-466f-844e-d20ea10ae9fd/event-duration-monitoring-storm-overflows-annual-returns,372
personal licence register - national data library,https://www.data.gov.uk/dataset/5025c6bd-53ca-4556-8e2f-[date]2762/personal-licence-register,325
traffic commissioners: goods and public service vehicle operator licence records - national data library,https://www.data.gov.uk/dataset/2a67d1ee-8f1b-43a3-8bc6-e8772d162a3c/traffic-commissioners-goods-and-public-service-vehicle-operator-licence-records,320
os open rivers - data.gov.uk,https://www.data.gov.uk/dataset/dc29160b-b163-4c6e-8817-f313229bcc23/os-open-rivers1,318
priority habitats inventory (england) - national data library,https://www.data.gov.uk/dataset/4b6ddab7-6c0f-4407-946e-d6499f19fcde/priority-habitats-inventory-england,312
sites of special scientific interest (england) - data.gov.uk,https://www.data.gov.uk/dataset/5b632bd7-9838-4ef2-9101-ea9384421b0d/sites-of-special-scientific-interest-england3,310
hmo register - national data library,https://www.data.gov.uk/dataset/e5d7c4b6-2527-407c-bcff-23401e4c463e/hmo-register5,305
flood map for planning (rivers and sea) - flood zone 2 - data.gov.uk,https://www.data.gov.uk/dataset/cf494c44-05cd-4060-a029-[date]c9c6/flood-map-for-planning-rivers-and-sea-flood-zone-2,284
flood map for planning - flood zones - data.gov.uk,https://www.data.gov.uk/dataset/104434b0-5263-4c90-9b1e-e43b1d57c750/flood-map-for-planning-flood-zones1,280
energy savings opportunity scheme - data.gov.uk,https://www.data.gov.uk/dataset/15eb8228-32e4-40e1-b722-b2efe571edd3/energy-savings-opportunity-scheme,261
risk of flooding from surface water - data.gov.uk,https://www.data.gov.uk/dataset/0d6fa1f4-0c82-4c91-8667-a549e8e3ca2d/risk-of-flooding-from-surface-water3,260
"foreign, commonwealth and development office: organograms of staff roles and salaries - data.gov.uk",https://www.data.gov.uk/dataset/73e0260a-0516-44ff-b4eb-ba9fec420c45/fcdo-organograms,257
provisional agricultural land classification (alc) - data.gov.uk,https://www.data.gov.uk/dataset/952421ec-da63-4569-817d-4d6399df40a1/provisional-agricultural-land-classification-alc2,256
traffic commissioners: local bus service registration - data.gov.uk,https://www.data.gov.uk/dataset/9ea90ed8-de54-4274-92c6-272edd518bfb/local-bus-service-registration,256
statutory main river map - data.gov.uk,https://www.data.gov.uk/dataset/4ae8ba46-f9a4-47d0-8d93-0f93eb494540/statutory-main-river-map,251
source protection zones [merged] - data.gov.uk,https://www.data.gov.uk/dataset/09889a48-0439-4bbe-8f2a-87bba26fbbf5/source-protection-zones-merged1,245
mine plans - national data library,https://www.data.gov.uk/dataset/0f9398e0-785b-48ab-8de3-5243de704b21/mine-plans,241
archived price paid data: 1995 to 2017 - data.gov.uk,https://www.data.gov.uk/dataset/314f77b3-e702-4545-8bcb-9ef8262ea0fd/archived-price-paid-information-residential-property-[date],234
animal health status of countries approved to export animals and animal products to great britain - data.gov.uk,https://www.data.gov.uk/dataset/b7712d2e-debb-4996-8e79-d27ca7492a00/disease-status-of-countries-approved-to-export-animals-gb,232
aquifer designation dataset for england and wales - data.gov.uk,https://www.data.gov.uk/dataset/616469ae-3ff2-41f4-901f-6686feb1d5b6/aquifer-designation-dataset-for-england-and-wales,230
mine plans - data.gov.uk,https://www.data.gov.uk/dataset/0f9398e0-785b-48ab-8de3-5243de704b21/mine-plans,222
ancient woodland (england) - data.gov.uk,https://www.data.gov.uk/dataset/9461f463-c363-4309-ae77-fdcd7e9df7d3/ancient-woodland-england,221
aquifer designation dataset for england and wales - national data library,https://www.data.gov.uk/dataset/616469ae-3ff2-41f4-901f-6686feb1d5b6/aquifer-designation-dataset-for-england-and-wales,214
electric vehicle charging transactions - data.gov.uk,https://www.data.gov.uk/dataset/16c7326b-57fe-4803-88f8-9286c387f68a/electric-vehicle-charging-transactions,212
environmental monitoring data - national data library,https://www.data.gov.uk/dataset/24542ae7-dd44-444f-b259-871c4cc43b5e/environmental-impact-data,206
2024 waste data interrogator - data.gov.uk,https://www.data.gov.uk/dataset/81f9d676-e77c-4d68-ab0c-b67e0b0b353e/2024-waste-data-interrogator,204
soilscapes - data.gov.uk,https://www.data.gov.uk/dataset/26d61739-e05b-420d-8fd0-d11edffa8b27/soilscapes1,203
ancient woodland (england) - national data library,https://www.data.gov.uk/dataset/9461f463-c363-4309-ae77-fdcd7e9df7d3/ancient-woodland-england,197
map based index (geoindex) water wells - national data library,https://www.data.gov.uk/dataset/6d0f1bf5-b055-4211-9ec6-1c3a4956698c/map-based-index-geoindex-water-wells1,195
water quality archive - data.gov.uk,https://www.data.gov.uk/dataset/a0e6f23e-d631-4584-9ea2-7053620e4af2/water-quality-archive,195
organogram of staff roles & salaries - data.gov.uk,https://www.data.gov.uk/dataset/ff76be1f-4f37-4bef-beb7-32b259413be1/organogram-cabinet-office,192
recorded flood outlines - data.gov.uk,https://www.data.gov.uk/dataset/16e32c53-35a6-4d54-a111-ca09031eaaaf/recorded-flood-outlines1,191
special areas of conservation (england) - data.gov.uk,https://www.data.gov.uk/dataset/a85e64d9-d0f1-[date]-b0e29b81fbc8/special-areas-of-conservation-england2,188
groundwater vulnerability maps (2017) on magic - data.gov.uk,https://www.data.gov.uk/dataset/42d7d021-538c-46e2-abbb-644e01c63551/groundwater-vulnerability-maps-2017-on-magic,187
pesticide residues in food - data.gov.uk,https://www.data.gov.uk/dataset/5d5028ef-9918-4ab7-8755-81f3ad06f308/pesticide-residues-in-food,184
traffic commissioners: local bus service registration - national data library,https://www.data.gov.uk/dataset/9ea90ed8-de54-4274-92c6-272edd518bfb/local-bus-service-registration,182
event duration monitoring - storm overflows - annual returns - national data library,https://www.data.gov.uk/dataset/19f6064d-7356-466f-844e-d20ea10ae9fd/event-duration-monitoring-storm-overflows-annual-returns,181
flood map for planning (rivers and sea) - flood zone 3 - data.gov.uk,https://www.data.gov.uk/dataset/bed63fc1-dd26-4685-b143-[date]23b3/flood-map-for-planning-rivers-and-sea-flood-zone-3,174
climate change civil penalties - data.gov.uk,https://www.data.gov.uk/dataset/13c0893a-049a-4608-9f9b-7f268a71f15a/climate-change-civil-penalties,173
permitted waste sites - authorised landfill site boundaries - data.gov.uk,https://www.data.gov.uk/dataset/ad695596-d71d-4cbb-8e32-[date]c0ee/permitted-waste-sites-authorised-landfill-site-boundaries1,173
source protection zones [merged] - national data library,https://www.data.gov.uk/dataset/09889a48-0439-4bbe-8f2a-87bba26fbbf5/source-protection-zones-merged1,172
historic flood map - national data library,https://www.data.gov.uk/dataset/76292bec-7d8b-43e8-9c98-02734fd89c81/historic-flood-map1,164
building materials and components statistics - data.gov.uk,https://www.data.gov.uk/dataset/75ee36ed-21f7-4d7b-9e7c-f5bf4546145d/monthly_statistics_of_building_materials_and_components,160
groundwater vulnerability maps (2017) on magic - national data library,https://www.data.gov.uk/dataset/42d7d021-538c-46e2-abbb-644e01c63551/groundwater-vulnerability-maps-2017-on-magic,160
desnz organogram of staff roles & salaries - data.gov.uk,https://www.data.gov.uk/dataset/55efc916-edbb-4468-8c71-0786cb9463c1/desnz-organogram-of-staff-roles-salaries,159
tariffs to trade with the uk from 1 january 2021 - national data library,https://www.data.gov.uk/dataset/3bee9a8a-e69c-400e-add5-3345a87a8e25/tariffs-to-trade-with-the-uk-from-1-january-2021,159
flood map for planning - flood zones plus climate change - data.gov.uk,https://www.data.gov.uk/dataset/[date]-ee6b-4f8e-[date]2aed2e5d/flood-map-for-planning-flood-zones-plus-climate-change,157
national trip end model (ntem) - data.gov.uk,https://www.data.gov.uk/dataset/11bc7aaf-ddf6-4133-a91d-84e6f20a663e/national-trip-end-model-ntem,157
english local authority green belt dataset - data.gov.uk,https://www.data.gov.uk/dataset/ccb505e0-67a8-4ace-b294-19a3cbff4861/english-local-authority-green-belt-dataset10,155
os open roads - data.gov.uk,https://www.data.gov.uk/dataset/65bf62c8-eae0-4475-9c16-a2e81afcbdb0/os-open-roads1,155
environmental pollution incidents (category 1 and 2) - data.gov.uk,https://www.data.gov.uk/dataset/c8625e18-c329-4032-b4c7-444b33af6780/environmental-pollution-incidents-category-1-and-21,154
ancient woodland - revised (england) - completed counties - data.gov.uk,https://www.data.gov.uk/dataset/12b72196-1f20-44a9-8fe0-0e78db46a67c/ancient-woodland-revised-england-completed-counties,153
road safety data - national data library,https://www.data.gov.uk/dataset/cb7ae6f0-4be6-[date]-47e5ce24a11f/road-accidents-safety-data,153
natmap - national soil map - data.gov.uk,https://www.data.gov.uk/dataset/ea1442bf-ba77-42cc-80e7-2ea339ccb28a/natmap-national-soil-map1,151
archived price paid data: 1995 to 2017 - national data library,https://www.data.gov.uk/dataset/314f77b3-e702-4545-8bcb-9ef8262ea0fd/archived-price-paid-information-residential-property-[date],150
national public transport access nodes (naptan) - data.gov.uk,https://www.data.gov.uk/dataset/ff93ffc1-6656-47d8-9155-85ea0b8f2251/naptan,149
sites of special scientific interest (england) - national data library,https://www.data.gov.uk/dataset/5b632bd7-9838-4ef2-9101-ea9384421b0d/sites-of-special-scientific-interest-england3,149
special protection areas (england) - data.gov.uk,https://www.data.gov.uk/dataset/174f4e23-acb6-[date]-1e33c8d0e455/special-protection-areas-england2,149
list of type 2 (long journey) authorised transporters - data.gov.uk,https://www.data.gov.uk/dataset/e769d17f-71f5-4dd1-bf13-3aec52ebc801/https-s3-eu-west-1-amazonaws-com-data-defra-gov-uk-agriculture-authorised_transporters_june_2022-pdf,148
os postcodes data - data.gov.uk,https://www.data.gov.uk/dataset/2dfb82b4-741a-4b93-807e-11abb4bb0875/os-postcodes-data1,148
flood map for planning (rivers and sea) - flood zone 2 - national data library,https://www.data.gov.uk/dataset/cf494c44-05cd-4060-a029-[date]c9c6/flood-map-for-planning-rivers-and-sea-flood-zone-2,146
lidar composite digital terrain model (dtm) - 1m - data.gov.uk,https://www.data.gov.uk/dataset/01b3ee39-da3f-47b6-83da-dc98e73a461f/lidar-composite-digital-terrain-model-dtm-1m,145
areas of outstanding natural beauty (england) - data.gov.uk,https://www.data.gov.uk/dataset/8e3ae3b9-a827-47f1-b025-f08527a4e84e/areas-of-outstanding-natural-beauty-england1,143
petrol and diesel prices - data.gov.uk,https://www.data.gov.uk/dataset/21db6396-3daf-4d90-8b3f-[date]6018/petrol-and-diesel-prices,143
flood map for planning - flood zones plus climate change - national data library,https://www.data.gov.uk/dataset/[date]-ee6b-4f8e-[date]2aed2e5d/flood-map-for-planning-flood-zones-plus-climate-change,142
permitted waste sites - authorised landfill site boundaries - national data library,https://www.data.gov.uk/dataset/ad695596-d71d-4cbb-8e32-[date]c0ee/permitted-waste-sites-authorised-landfill-site-boundaries1,142
flood map for planning - flood zones - national data library,https://www.data.gov.uk/dataset/104434b0-5263-4c90-9b1e-e43b1d57c750/flood-map-for-planning-flood-zones1,141
organogram of staff roles & salaries - data.gov.uk,https://www.data.gov.uk/dataset/a90a9f70-e28c-4a95-a7a7-f79d12fbe219/organogram-ministry-of-justice,140
consented discharges to controlled waters with conditions - data.gov.uk,https://www.data.gov.uk/dataset/55b8eaa8-60df-48a8-929a-060891b7a109/consented-discharges-to-controlled-waters-with-conditions1,139
registered dairy establishments - data.gov.uk,https://www.data.gov.uk/dataset/61ce0cbc-3c0e-[date]-ff439138eaee/list-of-registered-dairy-establishments,139
gb road traffic counts - data.gov.uk,https://www.data.gov.uk/dataset/208c0e7b-353f-4e2d-8b7a-1a7118467acc/gb-road-traffic-counts,138
sssi impact risk zones (england) - data.gov.uk,https://www.data.gov.uk/dataset/5ae2af0c-1363-4d40-9d1a-e5a1381449f8/sssi-impact-risk-zones-england1,138
bioscience and health technology database - data.gov.uk,https://www.data.gov.uk/dataset/a24c061b-d57e-4889-abbc-eead787f38e6/bioscience-and-health-technology-database,137
risk of flooding from rivers and sea - data.gov.uk,https://www.data.gov.uk/dataset/bad20199-6d39-4aad-8564-26a46778fd94/risk-of-flooding-from-rivers-and-sea1,137
2024 waste data interrogator - national data library,https://www.data.gov.uk/dataset/81f9d676-e77c-4d68-ab0c-b67e0b0b353e/2024-waste-data-interrogator,136
os open rivers - national data library,https://www.data.gov.uk/dataset/dc29160b-b163-4c6e-8817-f313229bcc23/os-open-rivers1,136
local nature reserves (england) - data.gov.uk,https://www.data.gov.uk/dataset/acdf4a9e-a115-41fb-bbe9-603c819aa7f7/local-nature-reserves-england1,135
pollution inventory - data.gov.uk,https://www.data.gov.uk/dataset/cfd94301-a2f2-48a2-9915-e477ca6d8b7e/pollution-inventory,133
risk of flooding from rivers and sea - data.gov.uk,https://www.data.gov.uk/dataset/943d2bbb-aa08-45d1-96cb-42556cd01d94/risk-of-flooding-from-rivers-and-sea2,132
energy savings opportunity scheme - national data library,https://www.data.gov.uk/dataset/15eb8228-32e4-40e1-b722-b2efe571edd3/energy-savings-opportunity-scheme,131
flood risk areas - data.gov.uk,https://www.data.gov.uk/dataset/42c31542-228d-439b-8dbe-e72135dae71c/flood-risk-areas,131
organogram of staff roles & salaries - data.gov.uk,https://www.data.gov.uk/dataset/dd2a5b45-9849-47be-89b1-6d41e40c05e7/organogram-department-for-environment-food-and-rural-affairs,130
coastal design sea levels - coastal flood boundary extreme sea levels (2018) - data.gov.uk,https://www.data.gov.uk/dataset/[date]-7dc4-488a-9583-a920072d9a9d/coastal-design-sea-levels-coastal-flood-boundary-extreme-sea-levels-2018,129
ramsar (england) - data.gov.uk,https://www.data.gov.uk/dataset/67b4ef48-d0b2-4b6f-b659-4efa[date]/ramsar-england,129
water abstraction data sets - data.gov.uk,https://www.data.gov.uk/dataset/7619198a-1bbf-4cbc-8014-f6a46edb230e/water-abstraction-data-sets,127
major road network - data.gov.uk,https://www.data.gov.uk/dataset/95f58bfa-13d6-4657-9d6f-[date]8cfd/major-road-network,126
statutory main river map - national data library,https://www.data.gov.uk/dataset/4ae8ba46-f9a4-47d0-8d93-0f93eb494540/statutory-main-river-map,126
building materials and components statistics - national data library,https://www.data.gov.uk/dataset/75ee36ed-21f7-4d7b-9e7c-f5bf4546145d/monthly_statistics_of_building_materials_and_components,125
national parks (england) - data.gov.uk,https://www.data.gov.uk/dataset/334e1b27-e193-4ef5-b14e-696b58bb7e95/national-parks-england1,125
wastedataflow - local authority waste management - data.gov.uk,https://www.data.gov.uk/dataset/0e0c12d8-24f6-461f-b4bc-f6d6a5bf2de5/waste-data-flow,125
aims spatial flood defences (inc. standardised attributes) - data.gov.uk,https://www.data.gov.uk/dataset/cc76738e-fc17-49f9-a216-977c61858dda/aims-spatial-flood-defences-inc-standardised-attributes,124
national nature reserves (england) - data.gov.uk,https://www.data.gov.uk/dataset/726484b0-d14e-44a3-9621-29e79fc47bfc/national-nature-reserves-england1,124
rail - data.gov.uk,https://www.data.gov.uk/dataset/5fa93846-ebda-44b7-b478-4fe0ee3c8595/rail4,124
living england habitat map (phase 4) - data.gov.uk,https://www.data.gov.uk/dataset/e207e1b3-72e2-4b6a-8aec-0c7b8bb9998c/living-england-habitat-map-phase-4,121
wastewater treatment in england - data.gov.uk,https://www.data.gov.uk/dataset/d7e2c57b-110a-462b-97a0-9833e7d26cc2/wastewater-treatment-in-england,121
list of type 2 (long journey) authorised transporters - national data library,https://www.data.gov.uk/dataset/e769d17f-71f5-4dd1-bf13-3aec52ebc801/https-s3-eu-west-1-amazonaws-com-data-defra-gov-uk-agriculture-authorised_transporters_june_2022-pdf,119
map based index (geoindex) water wells - data.gov.uk,https://www.data.gov.uk/dataset/6d0f1bf5-b055-4211-9ec6-1c3a4956698c/map-based-index-geoindex-water-wells1,119
organogram of staff roles & salaries - data.gov.uk,https://www.data.gov.uk/dataset/dbdf0bef-f47d-4ae9-9d78-fff8b7719f84/organogram-of-staff-roles-salaries[date],119
environment agency potential evapotranspiration dataset - data.gov.uk,https://www.data.gov.uk/dataset/7b58506c-620d-433c-afce-d5d93ef7e01e/environment-agency-potential-evapotranspiration-dataset,114
hmo register - data.gov.uk,https://www.data.gov.uk/dataset/a9[date]da-40e6-8ca5-63069a1154dd/hmo-register,113
organogram of staff roles & salaries - data.gov.uk,https://www.data.gov.uk/dataset/736da925-f409-49b8-99c8-6ea7a57641d0/organogram-home-office,113
os open uprn - data.gov.uk,https://www.data.gov.uk/dataset/c4f80d19-8cfa-4bf6-a283-[date]f876/os-open-uprn,112
desnz organogram of staff roles & salaries - national data library,https://www.data.gov.uk/dataset/55efc916-edbb-4468-8c71-0786cb9463c1/desnz-organogram-of-staff-roles-salaries,110
indicative flood risk areas (shapefiles) - data.gov.uk,https://www.data.gov.uk/dataset/7792054a-068d-471b-8969-f53a22b0c9b2/indicative-flood-risk-areas-shapefiles,106
lidar composite dtm 2019 - 1m - data.gov.uk,https://www.data.gov.uk/dataset/3fc4[date]-42fc-83d9-0498785c600c/lidar-composite-dtm-2019-1m,106
risk of flooding from surface water extent: 3.3 percent annual chance - data.gov.uk,https://www.data.gov.uk/dataset/95ea1c96-f3dd-4f92-b41f-ef21603a2802/risk-of-flooding-from-surface-water-extent-3-3-percent-annual-chance,106
higher education student data - data.gov.uk,https://www.data.gov.uk/dataset/[date]-e4ad-46e6-8f10-71b40126cefb/higher-education-student-data,105
organogram of staff roles & salaries - data.gov.uk,https://www.data.gov.uk/dataset/61e3828b-d1ad-4c69-b291-347a9d899fb3/organogram-hm-revenue-and-customs,105
provisional agricultural land classification (alc) - national data library,https://www.data.gov.uk/dataset/952421ec-da63-4569-817d-4d6399df40a1/provisional-agricultural-land-classification-alc2,105
scottish school roll and locations - data.gov.uk,https://www.data.gov.uk/dataset/9a6f9d86-9698-4a5d-a2c8-89f3b212c52c/scottish-school-roll-and-locations,105
"foreign, commonwealth and development office: organograms of staff roles and salaries - national data library",https://www.data.gov.uk/dataset/73e0260a-0516-44ff-b4eb-ba9fec420c45/fcdo-organograms,104
scheduled monuments gis data - data.gov.uk,https://www.data.gov.uk/dataset/640d5dab-4295-4b85-bc26-a8369abb73f6/scheduled-monuments-gis-data,104
animal health status of countries approved to export animals and animal products to great britain - national data library,https://www.data.gov.uk/dataset/b7712d2e-debb-4996-8e79-d27ca7492a00/disease-status-of-countries-approved-to-export-animals-gb,103
property subsidence assessment dataset - data.gov.uk,https://www.data.gov.uk/dataset/afb45f79-0752-4e62-8345-3c[date]11/property-subsidence-assessment-dataset,103
recorded flood outlines - national data library,https://www.data.gov.uk/dataset/16e32c53-35a6-4d54-a111-ca09031eaaaf/recorded-flood-outlines1,102
coastal design sea levels - coastal flood boundary extreme sea levels (2018) - national data library,https://www.data.gov.uk/dataset/[date]-7dc4-488a-9583-a920072d9a9d/coastal-design-sea-levels-coastal-flood-boundary-extreme-sea-levels-2018,101
organogram of staff roles & salaries - national data library,https://www.data.gov.uk/dataset/ff76be1f-4f37-4bef-beb7-32b259413be1/organogram-cabinet-office,101
uk greenhouse gas emissions: local authority and regional - data.gov.uk,https://www.data.gov.uk/dataset/723c243d-2f1a-4d27-8b61-cdb93e5b10ff/local_authority_carbon_dioxide_emissions,101
climate change civil penalties - national data library,https://www.data.gov.uk/dataset/13c0893a-049a-4608-9f9b-7f268a71f15a/climate-change-civil-penalties,100
climate change agreements - reduced rate certificates (rrc) - data.gov.uk,https://www.data.gov.uk/dataset/791f5d8b-ac3b-4669-9e7b-e269ae634f94/climate-change-agreements-reduced-rate-certificates-rrc,99
drinking water protected areas (surface water) - data.gov.uk,https://www.data.gov.uk/dataset/3d136e9a-78cf-4452-824d-39d715ba5b69/drinking-water-protected-areas-surface-water,98
wastedataflow - local authority waste management - national data library,https://www.data.gov.uk/dataset/0e0c12d8-24f6-461f-b4bc-f6d6a5bf2de5/waste-data-flow,98
national address gazetteer - data.gov.uk,https://www.data.gov.uk/dataset/03d48dba-529b-4bd5-93a5-6d41d1b20ff9/national-address-gazetteer,97
the government property estate including buildings and land - national data library,https://www.data.gov.uk/dataset/a3ad62cf-d8a2-4d3b-b3c6-24c35c5e0f71/the-government-property-estate-including-buildings-and-land,97
water quality monitoring data gc-ms and lc-ms semi-quantitative screen - data.gov.uk,https://www.data.gov.uk/dataset/0c63b33e-0e34-45bb-a779-16a8c3a4b3f7/water-quality-monitoring-data-gc-ms-and-lc-ms-semi-quantitative-screen,97
lower layer super output areas (lsoas) - data.gov.uk,https://www.data.gov.uk/dataset/c481f2d3-91fc-4767-ae10-2efdf6d58996/lower-layer-super-output-areas-lsoas,96
sssi impact risk zones (england) - national data library,https://www.data.gov.uk/dataset/5ae2af0c-1363-4d40-9d1a-e5a1381449f8/sssi-impact-risk-zones-england1,96
aims spatial flood defences (inc. standardised attributes) - national data library,https://www.data.gov.uk/dataset/cc76738e-fc17-49f9-a216-977c61858dda/aims-spatial-flood-defences-inc-standardised-attributes,95
flood warning areas - data.gov.uk,https://www.data.gov.uk/dataset/0d901c4a-6e1a-4f9a-9408-73e0c1f49dd3/flood-warning-areas3,95
green and blue infrastructure (england) - data.gov.uk,https://www.data.gov.uk/dataset/f335ab3a-f670-467f-bedd-80bdd8f1ace6/green-and-blue-infrastructure-england,95
gm accessibility levels (gmal) - data.gov.uk,https://www.data.gov.uk/dataset/d9dfbf0a-3cd7-4b12-a39f-0ec717423ee4/gm-accessibility-levels,94
counties and unitary authorities (may 2023) boundaries uk bgc - data.gov.uk,https://www.data.gov.uk/dataset/85228aec-fe0e-49bf-9455-df000d61e731/counties-and-unitary-authorities-may-2023-boundaries-uk-bgc,93
organogram of staff roles and salaries - data.gov.uk,https://www.data.gov.uk/dataset/[date]-663e-49e0-9103-8bc01dcaa2c7/organogram-department-of-health,93
groundwater flooding susceptibility - data.gov.uk,https://www.data.gov.uk/dataset/f0329412-b46a-49b0-9f30-abef8c4b807e/groundwater-flooding-susceptibility,92
cattle conditions - data.gov.uk,https://www.data.gov.uk/dataset/d29ae5a8-8971-4af0-9935-91f87a809e5a/cattle-conditions,91
drinking water safeguard zones (groundwater) - data.gov.uk,https://www.data.gov.uk/dataset/7fe90245-d6e8-4d7c-a13a-65a87455f429/drinking-water-safeguard-zones-groundwater,91
ancient woodland - revised (england) - completed counties - national data library,https://www.data.gov.uk/dataset/12b72196-1f20-44a9-8fe0-0e78db46a67c/ancient-woodland-revised-england-completed-counties,90
consented discharges to controlled waters with conditions - national data library,https://www.data.gov.uk/dataset/55b8eaa8-60df-48a8-929a-060891b7a109/consented-discharges-to-controlled-waters-with-conditions1,90
environmental pollution incidents (category 1 and 2) - national data library,https://www.data.gov.uk/dataset/c8625e18-c329-4032-b4c7-444b33af6780/environmental-pollution-incidents-category-1-and-21,90
historical performance platform - data.gov.uk,https://www.data.gov.uk/dataset/731b25a8-0462-4a7d-aa3f-5a5d44ae26d2/historical-performance-platform,90
"higher education staff statistics: uk, 2018/19 - data.gov.uk",https://www.data.gov.uk/dataset/452fa2dd-72e2-4de3-9e91-25be38dec27d/higher-education-staff-statistics-uk-2018-19,89
ons postcode directory (february 2025) for the uk - data.gov.uk,https://www.data.gov.uk/dataset/efccbd96-ffd0-476f-b80d-20b1787ff51a/ons-postcode-directory-february-2025-for-the-uk,89
enabling a natural capital approach - data.gov.uk,https://www.data.gov.uk/dataset/3930b9ca-26c3-489f-900f-6b9eec2602c6/enabling-a-natural-capital-approach,88
organogram of staff roles & salaries - national data library,https://www.data.gov.uk/dataset/dd2a5b45-9849-47be-89b1-6d41e40c05e7/organogram-department-for-environment-food-and-rural-affairs,88
contaminated land special sites - data.gov.uk,https://www.data.gov.uk/dataset/e3770885-fc05-4813-9e60-42b03ec411cf/contaminated-land-special-sites,87
